InternshipID,InternshipRole,RequiredSkills,Organization,CityLocation,Stipend,Duration,EducationRequired,MinAge,MaxAge,InternshipType,RequiredSkills_lst
1001,Frontend Developer Intern,"JavaScript, React",NextGenTech,Mumbai,20000 INR,4 months,B.Sc,18,24,Office-centric,"['JavaScript', 'React']"
1002,Web Developer Intern,"Python, HTML, CSS",InnovateX,Delhi,28000 INR,5 months,M.Tech,20,25,Remote,"['CSS', 'HTML', 'Python']"
1003,ML Engineer Intern,"Python, ML",DevHub,Delhi,16000 INR,4 months,MCA,18,24,Office-centric,"['ML', 'Python']"
1004,Data Analyst Intern,"Data Analysis, SQL",CloudNet,Bangalore,20000 INR,4 months,M.Tech,22,28,Office-centric,"['Data Analysis', 'SQL']"
1005,Data Analyst Intern,"Data Analysis, SQL",TechCorp,Noida,26000 INR,5 months,B.Tech,21,26,Remote,"['Data Analysis', 'SQL']"
1006,Cloud Developer Intern,"Java, Cloud",ByteWorks,Ahmedabad,22000 INR,6 months,MCA,20,23,Office-centric,"['Cloud', 'Java']"
1007,Frontend Developer Intern,"JavaScript, React",CloudNet,Mumbai,14000 INR,1 month,BCA,20,26,Office-centric,"['JavaScript', 'React']"
1008,Frontend Developer Intern,"JavaScript, React",SoftLab,Mumbai,8000 INR,6 months,B.Tech,21,27,Office-centric,"['JavaScript', 'React']"
1009,Data Analyst Intern,"Data Analysis, SQL",NextGenTech,Ahmedabad,24000 INR,5 months,B.Tech,22,26,Office-centric,"['Data Analysis', 'SQL']"
1010,ML Engineer Intern,"Python, ML",CloudNet,Chennai,16000 INR,5 months,MCA,22,30,Office-centric,"['ML', 'Python']"
1011,Cloud Developer Intern,"Java, Cloud",WebSolutions,Mumbai,10000 INR,4 months,B.Sc,22,27,Remote,"['Cloud', 'Java']"
1012,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Mumbai,10000 INR,2 months,M.Tech,21,29,Office-centric,"['CSS', 'HTML', 'Python']"
1013,Cloud Developer Intern,"Java, Cloud",DevHub,Noida,8000 INR,2 months,B.Tech,18,28,Remote,"['Cloud', 'Java']"
1014,Web Developer Intern,"Python, HTML, CSS",AlgoNext,Hyderabad,16000 INR,1 month,M.Tech,19,27,Office-centric,"['CSS', 'HTML', 'Python']"
1015,Frontend Developer Intern,"JavaScript, React",DevHub,Mumbai,28000 INR,1 month,BCA,18,29,Remote,"['JavaScript', 'React']"
1016,Frontend Developer Intern,"JavaScript, React",AlgoNext,Bangalore,24000 INR,4 months,B.Tech,20,30,Office-centric,"['JavaScript', 'React']"
1017,Frontend Developer Intern,"JavaScript, React",ByteWorks,Gurgaon,12000 INR,1 month,B.Tech,21,30,Remote,"['JavaScript', 'React']"
1018,Backend Developer Intern,"Java, Backend",InnovateX,Noida,28000 INR,4 months,M.Tech,19,27,Office-centric,"['Backend', 'Java']"
1019,Web Developer Intern,"Python, HTML, CSS",CloudNet,Delhi,24000 INR,3 months,MCA,18,27,Remote,"['CSS', 'HTML', 'Python']"
1020,Data Analyst Intern,"Data Analysis, SQL",DevHub,Mumbai,24000 INR,2 months,B.Sc,18,23,Remote,"['Data Analysis', 'SQL']"
1021,Frontend Developer Intern,"JavaScript, React",ByteWorks,Mumbai,18000 INR,3 months,MCA,22,26,Office-centric,"['JavaScript', 'React']"
1022,ML Engineer Intern,"Python, ML",InnovateX,Pune,28000 INR,4 months,B.Tech,21,26,Remote,"['ML', 'Python']"
1023,ML Engineer Intern,"Python, ML",TechCorp,Noida,12000 INR,4 months,BCA,21,23,Remote,"['ML', 'Python']"
1024,Cloud Developer Intern,"Java, Cloud",SoftLab,Chennai,26000 INR,1 month,MCA,20,28,Remote,"['Cloud', 'Java']"
1025,Web Developer Intern,"Python, HTML, CSS",WebSolutions,Delhi,18000 INR,2 months,B.Sc,22,23,Office-centric,"['CSS', 'HTML', 'Python']"
